%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1609059060110306962,8715,1609059060109753943,-0.0013432028290516485,-0.0006909686321314723,-3.408120271330972e-06,0.0,0.0,0.0,1.0
1609059060163810429,8716,1609059060163541890,-0.0013871860340550768,-0.000445198819363668,-2.13433009577102e-06,0.0,0.0,0.0,1.0
1609059060209415439,8717,1609059060208969927,-0.0011633100980823485,-0.0004856803663741971,-0.00010244379019397343,0.0,0.0,0.0,1.0
1609059060260676209,8718,1609059060260316945,-0.0010939803543976723,-0.0006266581708516128,-0.0001859261380445787,0.0,0.0,0.0,1.0
1609059060310294379,8719,1609059060309920884,-0.0012395152206678972,-0.0006586010031384149,-7.042422813441362e-05,0.0,0.0,0.0,1.0
1609059060362222923,8720,1609059060361595965,-0.00130211029495797,-0.0005887013773104854,-0.00010762158301247382,0.0,0.0,0.0,1.0
1609059060412498364,8721,1609059060412225104,-0.0013121325037133147,-0.0006820917828491702,-0.00024462278142323157,0.0,0.0,0.0,1.0
1609059060461552104,8722,1609059060460730887,-0.0012007137270479973,-0.0005918253190166922,-0.0002284361519073741,0.0,0.0,0.0,1.0
1609059060512282589,8723,1609059060511834002,-0.0013577674764029268,-0.0006267266979342878,-0.00010447576447347728,0.0,0.0,0.0,1.0
1609059060561650059,8724,1609059060561337090,-0.0013073510087338036,-0.0005609490441358389,-5.7518845139270525e-05,0.0,0.0,0.0,1.0
1609059060609696263,8725,1609059060609370089,-0.0012947031613030902,-0.0005773535293833731,-9.804604827934327e-05,0.0,0.0,0.0,1.0
1609059060661540456,8726,1609059060661104060,-0.001320092706823317,-0.0005551714942839681,-0.00025360335148860713,0.0,0.0,0.0,1.0
1609059060711097634,8727,1609059060710655070,-0.001338509760579143,-0.0005269612692906378,-0.0001877186975747236,0.0,0.0,0.0,1.0
1609059060762095748,8728,1609059060761712885,-0.0012130366212481647,-0.0006457757586382229,0.00013953742704586602,0.0,0.0,0.0,1.0
1609059060810556752,8729,1609059060810151911,-0.0011028323618624825,-0.0005509955093927488,-5.553972200189605e-05,0.0,0.0,0.0,1.0
1609059060860356655,8730,1609059060859999037,-0.0013346592549545733,-0.0005136007437087642,-0.00017088027176725973,0.0,0.0,0.0,1.0
1609059060912255958,8731,1609059060911767102,-0.0015644373171106452,-0.0006830751084834219,4.2084249184171085e-05,0.0,0.0,0.0,1.0
1609059060961443620,8732,1609059060960688925,-0.0014432998296918242,-0.0006014432658574265,3.3439664047563156e-05,0.0,0.0,0.0,1.0
1609059061009304921,8733,1609059061008704997,-0.0013294168985247268,-0.0005073564108997175,-0.00016694391164762123,0.0,0.0,0.0,1.0
1609059061060453649,8734,1609059061060191966,-0.001433498141938827,-0.0006878399390188861,-0.00011509509210938518,0.0,0.0,0.0,1.0
1609059061111030872,8735,1609059061110757924,-0.001320507419549699,-0.0006023298728159432,-0.0001082659070910097,0.0,0.0,0.0,1.0
1609059061163171590,8736,1609059061162473059,-0.001305771479490403,-0.0005722813585968822,-7.733735116843832e-05,0.0,0.0,0.0,1.0
1609059061212940312,8737,1609059061212312079,-0.0010918586443686706,-0.0006062385781291368,-0.00015589154374495706,0.0,0.0,0.0,1.0
1609059061261898353,8738,1609059061260828114,-0.0012468664631484216,-0.0006433229064413126,-3.773916775173802e-05,0.0,0.0,0.0,1.0
1609059061309891994,8739,1609059061309517956,-0.0012898268118988199,-0.0005920821125435793,9.279757288993551e-05,0.0,0.0,0.0,1.0
1609059061363805493,8740,1609059061363396025,-0.001450188577354794,-0.0006606723931845693,-5.2840188857317116e-05,0.0,0.0,0.0,1.0
1609059061410739059,8741,1609059061410379982,-0.0014856648364549585,-0.0006114680560145302,-0.00015391903490780123,0.0,0.0,0.0,1.0
1609059061460091217,8742,1609059061459668017,-0.0014333885810202673,-0.0006789229564141408,-0.00010104594422344348,0.0,0.0,0.0,1.0
1609059061510386026,8743,1609059061510033942,-0.001355369211978541,-0.0007380313923022186,-6.431808964535435e-05,0.0,0.0,0.0,1.0
1609059061559960993,8744,1609059061559636927,-0.0013217991009319974,-0.0005314973647578825,5.805236991562879e-06,0.0,0.0,0.0,1.0
1609059061610659974,8745,1609059061610246993,-0.0012961280222327787,-0.0005783350491945782,-9.79783080694574e-05,0.0,0.0,0.0,1.0
