%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1609043642054916148,508,1609043642054158030,-0.00029880426913564406,0.00022051222016195027,-0.00019883865227043884,0.0,0.0,0.0,0.0
1609043642102857115,509,1609043642102359114,-0.0001455984915139652,0.00010216515038052876,-0.00011168316980914028,0.0,0.0,0.0,0.0
1609043642154380305,510,1609043642153720913,-0.00031325657287339936,7.183313384651058e-05,-2.4965817157607262e-05,0.0,0.0,0.0,0.0
1609043642203371273,511,1609043642203130065,-0.00044074185981557434,0.0002828150606521973,-0.00011009165582898106,0.0,0.0,0.0,0.0
1609043642254949359,512,1609043642254720984,-0.0003369789245759591,0.0002790002313552975,-8.885279206616303e-05,0.0,0.0,0.0,0.0
1609043642303143716,513,1609043642302882967,-0.00027078124535862,0.0003119564998179669,-0.0002020944000538094,0.0,0.0,0.0,0.0
1609043642352420812,514,1609043642352048932,-0.0002213023684234372,0.000259067196981988,-0.00010070758868963026,0.0,0.0,0.0,0.0
1609043642405273553,515,1609043642404753027,-0.0003672617750893892,0.0003239645483681386,-0.0002331575214498116,0.0,0.0,0.0,0.0
1609043642460519759,516,1609043642460060893,-0.00018393787857817756,0.00040042690503838685,-0.000324569122366114,0.0,0.0,0.0,0.0
1609043642502101652,517,1609043642501741944,-0.00013011228305970235,0.0002554974804951371,-0.00028493617336167176,0.0,0.0,0.0,0.0
1609043642551857983,518,1609043642551175890,-3.6711553420332166e-05,0.00024438491520584193,-0.0002472041228802624,0.0,0.0,0.0,0.0
1609043642603512845,519,1609043642603060065,-0.00016854699057589073,0.00041343116203940156,-0.0003478169701338629,0.0,0.0,0.0,0.0
1609043642655654505,520,1609043642655016957,-6.279681862508824e-05,0.00035374859240278056,-0.0001320353726601553,0.0,0.0,0.0,0.0
1609043642703742335,521,1609043642703115998,-0.0002295153369296088,0.0002623808790662707,-0.0003131159341975831,0.0,0.0,0.0,0.0
1609043642753319119,522,1609043642752657948,-0.00013117916017080233,0.00023829666185903875,-0.00029272265329716163,0.0,0.0,0.0,0.0
1609043642804399063,523,1609043642803447066,-7.218622210558578e-05,0.00041674092486765346,-0.0003076820824361448,0.0,0.0,0.0,0.0
1609043642856368617,524,1609043642855460940,-0.0001181273599861754,0.00048284469480464054,-0.00017779049988142503,0.0,0.0,0.0,0.0
1609043642902997499,525,1609043642902546940,-9.41107211680503e-05,0.0003642222227391301,-0.0002941660949051794,0.0,0.0,0.0,0.0
1609043642953435185,526,1609043642952973900,-0.0001479389806746667,0.0003712941184854657,-0.00018255636448216706,0.0,0.0,0.0,0.0
1609043643004043634,527,1609043643003691016,-0.0002355601448122968,0.0004119603687762208,-0.0002147936410654694,0.0,0.0,0.0,0.0
1609043643055586747,528,1609043643055297909,-0.00014419004817156633,0.0003942914587131696,-0.0001767853228340499,0.0,0.0,0.0,0.0
1609043643103577577,529,1609043643102990923,-0.0002574423729200248,0.0003865818135171395,-0.000185712752468703,0.0,0.0,0.0,0.0
1609043643153346170,530,1609043643152493058,1.6007617031021937e-05,0.0004975134858415942,-0.00020656690642439912,0.0,0.0,0.0,0.0
1609043643205603761,531,1609043643205050049,4.248400301420929e-05,0.0004955223886291549,-0.0002606062966243883,0.0,0.0,0.0,0.0
1609043643256307803,532,1609043643255723057,-0.00012758201962270732,0.0004323600536721983,-0.0001880126890618783,0.0,0.0,0.0,0.0
1609043643303595730,533,1609043643302914916,-5.018432257486438e-05,0.00021729804138992392,-0.00023590775529847008,0.0,0.0,0.0,0.0
1609043643353838831,534,1609043643352988062,-0.000119383232302539,0.0005444581291804695,-0.00013975468837479355,0.0,0.0,0.0,0.0
1609043643406153436,535,1609043643404909907,-0.0001383441131075358,0.0007236971080892829,-0.0002292505847378834,0.0,0.0,0.0,0.0
1609043643456481797,536,1609043643455735026,-0.00030671093061585,0.00047494122101987557,-0.0002670670900783989,0.0,0.0,0.0,0.0
1609043643503744383,537,1609043643503424941,-0.00011176722865968713,0.00031369428749528083,-5.730221025856963e-05,0.0,0.0,0.0,0.0
1609043643553069568,538,1609043643552750884,-0.00031543058085503617,0.0004394641074849659,-3.937646688711993e-05,0.0,0.0,0.0,0.0
1609043643604585257,539,1609043643604286013,-0.0003224960470795679,0.0003249045097444281,-9.131724572242206e-05,0.0,0.0,0.0,0.0
1609043643655143031,540,1609043643654822884,-0.00035979604116676,0.00039876276115258236,2.5785210613804566e-05,0.0,0.0,0.0,0.0
1609043643703024029,541,1609043643702201901,-0.0003259318182600168,0.00013002084254587487,-0.00019682173374846457,0.0,0.0,0.0,0.0
1609043643753292933,542,1609043643752656994,-0.00018782496639957458,0.0002138579568757848,-0.0001936529010375665,0.0,0.0,0.0,0.0
1609043643804205483,543,1609043643803844986,-0.0002389385636689667,0.00035781656779576565,-0.0002392638280195314,0.0,0.0,0.0,0.0
1609043643859273583,544,1609043643858996926,-0.00016376269577023095,0.00038188975532449376,-0.00037556102587466,0.0,0.0,0.0,0.0
1609043643903998135,545,1609043643903624115,-0.00010092191901733827,0.0003577778494410211,-0.0002842752935716675,0.0,0.0,0.0,0.0
1609043643953380904,546,1609043643953024922,-0.0001508131957983494,0.0004045792508442503,-0.00015762229504900915,0.0,0.0,0.0,0.0
1609043644004971378,547,1609043644004710017,-0.00017850883284964425,0.000272654645902648,-0.00017836213145727697,0.0,0.0,0.0,0.0
1609043644057057140,548,1609043644056649981,-0.0002644516184027168,0.00037430318236708615,-0.0001787902012768683,0.0,0.0,0.0,0.0
1609043644103835947,549,1609043644103090106,-0.00021924322706112775,0.00012923155508914874,-0.0001796829436688796,0.0,0.0,0.0,0.0
1609043644153216028,550,1609043644152585087,-0.0002630337620033174,0.00024966470401110996,-2.2761318643205186e-05,0.0,0.0,0.0,0.0
1609043644204598161,551,1609043644204182921,-0.0004233319927138268,0.0002954111340525145,-0.00013760895805603468,0.0,0.0,0.0,0.0
1609043644255655295,552,1609043644255357085,-0.0002948308830745816,0.00026661147556694687,5.053240232300027e-05,0.0,0.0,0.0,0.0
1609043644302804841,553,1609043644302393971,-5.155260206635148e-05,0.0003166281139641569,5.482549944879622e-05,0.0,0.0,0.0,0.0
1609043644352624934,554,1609043644352324067,-0.00021025516835138092,0.00027750861035436003,-0.00011214349575894289,0.0,0.0,0.0,0.0
1609043644402193935,555,1609043644401588974,-0.0003340870992154521,0.00032223418978460927,-6.970121676452834e-05,0.0,0.0,0.0,0.0
1609043644456743533,556,1609043644456440030,-0.00040982593354499386,0.00043416728090583945,0.00014614727864703525,0.0,0.0,0.0,0.0
1609043644504649249,557,1609043644504197894,-0.0001388340145318523,8.816520151988527e-05,-0.0001332687355510842,0.0,0.0,0.0,0.0
1609043644553225383,558,1609043644552747069,-0.00035490177114283483,0.00027501092365689317,-0.0002860753722124798,0.0,0.0,0.0,0.0
1609043644602428390,559,1609043644601918993,-0.00027306583452357813,0.00024826130266752955,-0.0002342565983095568,0.0,0.0,0.0,0.0
1609043644655495371,560,1609043644655213891,-0.0003064892684392362,0.00038535527660776836,-8.843830749860615e-05,0.0,0.0,0.0,0.0
1609043644703468861,561,1609043644703132926,-0.00020289185331634485,0.00022951257364312028,-0.00015452745297039883,0.0,0.0,0.0,0.0
