%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1624182037515404731,2,1624182037515160894,-0.0010315309191355482,0.001505618648593554,0.0009559814815496281,0.0,0.0,0.0,1.0
1624182037571459208,3,1624182037571122026,-0.0010247451575651212,0.0014867314504272144,0.0008887535681445513,0.0,0.0,0.0,1.0
1624182037616916957,4,1624182037616480922,-0.0007150228270802472,0.0015477541413702056,0.0009539119314432298,0.0,0.0,0.0,1.0
1624182037668995882,5,1624182037668053960,-0.0010107945124673279,0.0015243273845726435,0.0010433650183045984,0.0,0.0,0.0,1.0
1624182037717622881,6,1624182037717189884,-0.0010033318549176329,0.00157243827095499,0.001233353431729256,0.0,0.0,0.0,1.0
1624182037771345467,7,1624182037770830011,-0.001327515830325865,0.0016309838604229299,0.0012122080917364997,0.0,0.0,0.0,1.0
1624182037818602811,8,1624182037817518091,-0.0010318622241811681,0.001485530618424491,0.0008787637667246884,0.0,0.0,0.0,1.0
1624182037871202918,9,1624182037870644903,-0.0010074716790313687,0.0016022559788098079,0.0009412979510869945,0.0,0.0,0.0,1.0
1624182037928595853,10,1624182037927521085,-0.0010081360219373892,0.0015020138639556535,0.0009598838395099563,0.0,0.0,0.0,1.0
1624182037973026283,11,1624182037972586011,-0.0010401733131857327,0.0014090295429696198,0.0009825230371873772,0.0,0.0,0.0,1.0
1624182038019642071,12,1624182038019222116,-0.0010214416809048998,0.001517851013204563,0.0010104890056368276,0.0,0.0,0.0,1.0
1624182038071507908,13,1624182038071231937,-0.0010333880363759818,0.001506129040990345,0.0009565308807459871,0.0,0.0,0.0,1.0
1624182038116889050,14,1624182038116484975,-0.001018699436372117,0.0015017103439731727,0.0009507225475857695,0.0,0.0,0.0,1.0
1624182038170076011,15,1624182038169830894,-0.0010256958339596167,0.0015091382005039122,0.0009738847834306341,0.0,0.0,0.0,1.0
1624182038219196162,16,1624182038218889093,-0.0013970142842936184,0.0015826914440140172,0.0009745532316571826,0.0,0.0,0.0,1.0
1624182038274581409,17,1624182038274324035,-0.0010097467677496752,0.0015021654495512848,0.0009592450201445502,0.0,0.0,0.0,1.0
1624182038316481032,18,1624182038315857982,-0.0009201683028550178,0.0013844738389252598,0.0009793033724321276,0.0,0.0,0.0,1.0
1624182038369993771,19,1624182038369634008,-0.0010279096825343004,0.0015280325301318953,0.0010446020551277968,0.0,0.0,0.0,1.0
1624182038418510491,20,1624182038417958116,-0.001007083031026923,0.0017013022708169956,0.001321090418564097,0.0,0.0,0.0,1.0
1624182038469077108,21,1624182038468457078,-0.001177079092940403,0.0015977853839785894,0.001198913659493428,0.0,0.0,0.0,1.0
1624182038519289914,22,1624182038518864011,-0.0010436738923544908,0.0014334635051227451,0.0006703277054818102,0.0,0.0,0.0,1.0
1624182038571977364,23,1624182038571395969,-0.0009814595323405229,0.0016790102165487042,0.0012550790425649438,0.0,0.0,0.0,1.0
1624182038615690524,24,1624182038615075922,-0.0010092230029385973,0.001602691846073867,0.0009416419119041564,0.0,0.0,0.0,1.0
1624182038670176348,25,1624182038669735050,-0.001046854119067575,0.001433971480537366,0.0010730293879319674,0.0,0.0,0.0,1.0
1624182038716789573,26,1624182038715989923,-0.0009787655769741832,0.0017006202855327501,0.0013399190317322507,0.0,0.0,0.0,1.0
1624182038770248419,27,1624182038769964075,-0.0010102032358645374,0.0016098871381018398,0.0013716377408456992,0.0,0.0,0.0,1.0
1624182038818162656,28,1624182038817945098,-0.0010049848569906317,0.0015976083417399423,0.0009253735528673701,0.0,0.0,0.0,1.0
1624182038870569573,29,1624182038870252943,-0.0009926935606472398,0.001701376582445846,0.0013322706986826915,0.0,0.0,0.0,1.0
1624182038929406004,30,1624182038929122066,-0.001033477453802334,0.001507328976572353,0.0009610607131591564,0.0,0.0,0.0,1.0
1624182038986972454,31,1624182038986329889,-0.0010141674422357028,0.001503380520148312,0.0009605533185599313,0.0,0.0,0.0,1.0
1624182039027492516,32,1624182039026315069,-0.0010204332393186633,0.0015060258056109888,0.0009659443866247841,0.0,0.0,0.0,1.0
